Query,order,Kariz,MRD,CP,NoCache,infinite
Q1,0,254.8399171,479.2136645,480.024765,476.9954596
Q2,2,49.481225549,48.488804819,59.482557949,114.593164749
Q3,3,198.4818834,500.6583433,597.8965905,594.0249804
Q3,3,198.7716466,500.4363835,595.4607145,596.8574498
Q4,1,217.3363013,379.8844974,229.5694895,589.861194
Q4,1,218.0541788,379.5054147,228.8052328,588.8615067
Q4,1,218.1105399,380.4401056,229.3497079,587.1977439
Q5,4,212.782028648,373.987417261,312.079913863,595.691933262
Q7,9,257.4287466,453.950025,294.8853296,597.7980954
Q7,9,254.1837734,455.0888632,296.1466706,602.3838144
Q7,9,254.059613,454.7635173,296.6191406,599.1786175
Q10,5,201.522384428,374.330956367,313.888665212,606.839251375
Q11,6,44.268524912,44.313018023,44.59119556,103.458227571
Q14,7,270.5531002,490.3810274,497.1101438,494.7062919
Q14,7,268.9608054,490.83726,495.5600547,495.5528917
Q14,7,269.3561336,489.7224936,495.7743773,495.1866899
Q15,8,90.254683157,283.5531002,235.808204883,290.978616802
Q19,10,119.972256379,349.978616802,209.755616503,494.314970359
Q20,11,215.831331113,362.018744241,282.224785671,575.979055648
Q21,12,324.188301223,554.791837772,637.490381374,624.808204883
Q22,13,48.8172116,45.78618464,57.42622249,142.1478369
Q22,13,47.46949148,46.65774881,90.90843379,141.7378575
