jobid,experiment,cacheddata,rep
job_1588341712669_0066,wordcount,0,0
job_1588341712669_0067,wordcount,0,1
job_1588341712669_0068,wordcount,0,2
job_1588341712669_0069,wordcount,4,0
job_1588341712669_0070,wordcount,4,1
job_1588341712669_0071,wordcount,4,2
job_1588341712669_0072,wordcount,8,0
job_1588341712669_0073,wordcount,8,1
job_1588341712669_0074,wordcount,8,2
job_1588341712669_0075,wordcount,16,0
job_1588341712669_0076,wordcount,16,1
job_1588341712669_0077,wordcount,16,2
job_1588341712669_0078,wordcount,24,0
job_1588341712669_0079,wordcount,24,1
job_1588341712669_0080,wordcount,24,2
job_1588341712669_0081,wordcount,32,0
job_1588341712669_0082,wordcount,32,1
job_1588341712669_0083,wordcount,32,2
job_1588341712669_0084,wordcount,48,0
job_1588341712669_0085,wordcount,48,1
job_1588341712669_0086,wordcount,48,2
job_1588341712669_0087,wordcount,64,0
job_1588341712669_0088,wordcount,64,1
job_1588341712669_0089,wordcount,64,2
job_1588341712669_0090,wordcount,80,0
job_1588341712669_0091,wordcount,80,1
job_1588341712669_0092,wordcount,80,2
job_1588341712669_0093,wordcount,96,0
job_1588341712669_0094,wordcount,96,2
job_1588341712669_0095,wordcount,112,0
job_1588341712669_0096,wordcount,112,1
job_1588341712669_0097,wordcount,112,2
job_1588341712669_0098,wordcount,128,0
job_1588341712669_0099,wordcount,128,1
job_1588341712669_0100,wordcount,128,2
job_1588341712669_0101,wordcount,144,0
job_1588341712669_0102,wordcount,144,1
job_1588341712669_0103,wordcount,144,2
job_1588341712669_0104,wordcount,160,0
job_1588341712669_0105,wordcount,160,1
job_1588341712669_0106,wordcount,160,2
job_1588341712669_0107,wordcount,176,0
job_1588341712669_0108,wordcount,176,1
job_1588341712669_0109,wordcount,176,2
job_1588341712669_0110,wordcount,192,0
job_1588341712669_0111,wordcount,192,1
job_1588341712669_0112,wordcount,192,2
job_1588341712669_0113,wordcount,208,0
job_1588341712669_0114,wordcount,208,1
job_1588341712669_0115,wordcount,208,2
job_1588341712669_0116,wordcount,224,0
job_1588341712669_0117,wordcount,224,1
job_1588341712669_0118,wordcount,224,2
job_1588341712669_0119,wordcount,240,0
job_1588341712669_0120,wordcount,240,1
job_1588341712669_0121,wordcount,240,2
job_1588341712669_0122,wordcount,256,0
job_1588341712669_0123,wordcount,256,1
job_1588341712669_0124,wordcount,256,2
