jobid,experiment,cacheddata,rep
job_1588341712669_0005,wordcount,0,0
job_1588341712669_0006,wordcount,0,0
job_1588341712669_0007,wordcount,0,1
job_1588341712669_0008,wordcount,0,2
job_1588341712669_0009,wordcount,4,0
job_1588341712669_0010,wordcount,4,1
job_1588341712669_0011,wordcount,4,2
job_1588341712669_0012,wordcount,8,0
job_1588341712669_0013,wordcount,8,1
job_1588341712669_0014,wordcount,8,2
job_1588341712669_0015,wordcount,16,0
job_1588341712669_0016,wordcount,16,1
job_1588341712669_0017,wordcount,16,2
job_1588341712669_0018,wordcount,24,0
job_1588341712669_0019,wordcount,24,1
job_1588341712669_0020,wordcount,24,2
job_1588341712669_0021,wordcount,32,0
job_1588341712669_0022,wordcount,32,1
job_1588341712669_0023,wordcount,32,2
job_1588341712669_0024,wordcount,48,0
job_1588341712669_0025,wordcount,48,1
job_1588341712669_0026,wordcount,48,2
job_1588341712669_0027,wordcount,64,0
job_1588341712669_0028,wordcount,64,1
job_1588341712669_0029,wordcount,64,2
job_1588341712669_0030,wordcount,80,0
job_1588341712669_0031,wordcount,80,1
job_1588341712669_0032,wordcount,80,2
job_1588341712669_0033,wordcount,96,0
job_1588341712669_0034,wordcount,96,1
job_1588341712669_0035,wordcount,96,2
job_1588341712669_0036,wordcount,112,0
job_1588341712669_0037,wordcount,112,1
job_1588341712669_0038,wordcount,112,2
job_1588341712669_0039,wordcount,128,0
job_1588341712669_0040,wordcount,128,1
job_1588341712669_0041,wordcount,128,2
job_1588341712669_0042,wordcount,144,0
job_1588341712669_0043,wordcount,144,1
job_1588341712669_0044,wordcount,144,2
job_1588341712669_0045,wordcount,160,0
job_1588341712669_0046,wordcount,160,1
job_1588341712669_0047,wordcount,160,2
job_1588341712669_0048,wordcount,176,0
job_1588341712669_0049,wordcount,176,1
job_1588341712669_0050,wordcount,176,2
job_1588341712669_0051,wordcount,192,0
job_1588341712669_0052,wordcount,192,1
job_1588341712669_0053,wordcount,192,2
job_1588341712669_0054,wordcount,208,0
job_1588341712669_0055,wordcount,208,1
job_1588341712669_0056,wordcount,208,2
job_1588341712669_0057,wordcount,224,0
job_1588341712669_0058,wordcount,224,1
job_1588341712669_0059,wordcount,224,2
job_1588341712669_0060,wordcount,240,0
job_1588341712669_0061,wordcount,240,1
job_1588341712669_0062,wordcount,240,2
job_1588341712669_0063,wordcount,256,0
job_1588341712669_0064,wordcount,256,1
job_1588341712669_0065,wordcount,256,2
